本名,外文名,别名,字号,所处时代,国籍,毕业院校,民族,出生时间,逝世时间,职业,官职,出生地,代表作品,人物关系,简介
臧克家,,臧瑗望，少全，何嘉,,,中国,中国海洋大学，山东大学,汉族,1905年10月8日,2004年2月5日,诗人,,山东潍坊诸城,《难民》，《老马》，《烙印》，《有的人》,,臧克家著名诗人，山东潍坊诸城人，曾用名臧瑗望，笔名少全、何嘉。国立山东大学知名校友，是闻一多的学生、忠诚的爱国主义者、曾任中国民主同盟盟员。全国人民代表大会第二、三届代表，全国政协第五、六、七、八届委员，第七、八届常务委员，中国作家协会第一、二届理事，第三届理事、顾问，第四届顾问，第五、六届名誉副主席，中国文联第三、四届委员，第六、七届荣誉委员，中国诗歌学会会长。曾任《诗刊》主编，第一部诗集是《烙印》，主要讽刺诗集《宝贝儿》，文艺论文集《在文艺学习的道路上》。其短诗《有的人》被广泛传颂，且被选入六年级上册人教版第二十课；《说和做——记闻一多先生言行片段》入选七年级下册人教版第二课。
余光中,,,,,中国,厦门大学，台湾大学，爱荷华大学,汉族,1928年10月21日,2017年12月14日,文学家，诗人，散文家,,江苏南京,《乡愁》，《听听那冷雨》，《白玉苦瓜》，《记忆像铁轨一样长》，《分水岭上》,妻子：范我存,余光中，当代著名作家、诗人、学者、翻译家，出生于南京，祖籍福建永春。因母亲原籍为江苏武进，故也自称“江南人”。1947年毕业于南京青年会中学，入金陵大学外文系，1949年转厦门大学外文系，1952年毕业于台湾大学外文系。1959年获美国爱荷华大学艺术硕士。先后任教台湾东吴大学、台湾师范大学、台湾大学、台湾政治大学。其间两度应美国国务院邀请，赴美国多家大学任客座教授。1972年任台湾政治大学西语系教授兼主任。1974年至1985年任香港中文大学中文系教授，并兼任香港中文大学联合书院中文系主任二年。1985年，任台湾中山大学教授及讲座教授，其中有六年时间兼任文学院院长及外文研究所所长。余光中一生从事诗歌、散文、评论、翻译，自称为自己写作的“四度空间”，被誉为文坛的“璀璨五彩笔”。驰骋文坛逾半个世纪，涉猎广泛，被誉为“艺术上的多妻主义者”。其文学生涯悠远、辽阔、深沉，为当代诗坛健将、散文重镇、著名批评家、优秀翻译家。现已出版诗集 21 种；散文集 11 种；评论集 5 种；翻译集 13 种；共 40 余种。代表作有《白玉苦瓜》、《记忆像铁轨一样长》及《分水岭上：余光中评论文集》等，其诗作如《乡愁》、《乡愁四韵》，散文如《听听那冷雨》、《我的四个假想敌》等，广泛收录于大陆及港台语文课本。2017年12月14日，余光中教授于台湾逝世，享年89岁。
丽尼,,郭安仁,,,中国,,,1909.11.4,1968.8.3,教授,,湖北孝感,《白夜》，《鹰之歌》,,丽尼，原名郭安仁，1909年生于湖北孝感。是上世纪三四十年代一位有影响的散文家，有巴金为其编选的《白夜》和《鹰之歌》两本散文集存世。曾任《泉州日报》副刊编辑，晋江黎明高中、武汉美专教师。1930年到上海参加左联，与巴金等人创办文化生活出版社，抗战后在福建、四川从事写作和教学，任重庆相辉学院外文系、武汉大学中文系教授，1949年后历任中南人民出版社、中南人民文学艺术出版社、中央电影局艺术编译室、中国影协编辑，《译文》编委，广州暨南大学教授。“文革”中受到迫害，1968年殁于广州。1978年9月平反昭雪，恢复名誉。20世纪30年代开始发表作品。1955年加入中国作家协会。著有散文集《白夜》、《鹰之歌》、《黄昏之献》，译著长篇小说《田园交响乐》、《贵族之家》、《前夜》、《天蓝的生活》，专著《俄国文学史》，文学剧本《伊凡诺夫》、《海鸥》、《万尼亚舅舅》、《苏瓦洛夫元帅》等。
王任叔,,巴人,,,中国,浙江省立第四师范,,1901年,1972年,作家,,浙江奉化,,,王任叔，乳名朝伦，谱名运镗，字任叔，号愚庵，笔名巴人等，浙江省奉化县大堰村人。王任叔13岁参加全县小学统考，作文名列前茅。1915年考入浙江省第四师范，五四运动中任宁波学生联合会秘书。1920年毕业，先后执教镇海、鄞县等地小学。1922年5月始发表散文、诗作、小说，由郑振铎介绍加入文学研究会。1924年10月任《四明日报》编辑，主编副刊《文学》。翌年任县立初级中学教务主任，主编剡社月刊《新奉化》。新中国成立后任新中国驻印度尼西亚首任大使，文革中被迫害致死，终年七十一岁。
冰心,,氷心，世纪老人，文坛祖母，谢婉莹,世纪老人，文坛祖母,,中国,燕京大学，美国威尔斯利女子大学,汉族,1900年10月5日,1999年2月28日,诗人，作家，翻译家，社会活动家，散文家,,福建省福州三坊七巷谢家大宅,,"丈夫：吴文藻
女儿：吴青，吴冰
儿子：吴平",冰心，女，原名谢婉莹，福建长乐人 ，中国民主促进会成员。中国诗人，现代作家、翻译家、儿童文学作家、社会活动家、散文家。笔名冰心取自“一片冰心在玉壶”。1919年8月的《晨报》上，冰心发表了第一篇散文《二十一日听审的感想》和第一篇小说《两个家庭》。1923年出国留学前后，开始陆续发表总名为《寄小读者》的通讯散文，成为中国儿童文学的奠基之作。在日本被东京大学聘为第一位外籍女讲师，讲授“中国新文学”课程，于1951年返回中国。1999年2月28日21时12分冰心在北京医院逝世，享年99岁，被称为&quot;世纪老人&quot;。
叶圣陶,,叶绍钧,,,中国,,汉族,1894年10月28日,1988年2月16日,作家，教育家，社会活动家和文学出版家,,江苏苏州,《隔膜》，《线下》，《倪焕之》，《脚步集》，《西川集》，《稻草人》,"儿子：叶至善，叶至诚
孙子：叶兆言
儿媳：姚澄",叶圣陶，男，原名叶绍钧，字秉臣、圣陶，1894年10月28日生于江苏苏州，现代作家、教育家、文学出版家和社会活动家，有“优秀的语言艺术家”之称。1907年，考入草桥中学。1916年，进上海商务印书馆附设尚公学校执教，推出第一个童话故事《稻草人》。1918年，发表第一篇白话小说《春宴琐谭》。1923年，发表长篇小说《倪焕之》。1949年后，先后出任教育部副部长、人民教育出版社社长和总编、中华全国文学艺术界联合委员会委员、中国作家协会顾问、中央文史研究馆馆长、中华人民共和国全国政协副主席，第一、二、三、四、五届全国人民代表大会常务委员会委员，民进中央主席。1983年当选为第六届全国政协副主席。是第一至四届全国人大代表、第五届全国人大常委，第一届全国政协委员、第五届全国政协常委。1988年2月16日在北京逝世，享年94岁。
金庸,,查良镛,,,中国,上海东吴大学法学院，剑桥大学,汉族,1924年3月10日,2018年10月30日,作家，政论家，社会活动家,,浙江省嘉兴市海宁市,《射雕英雄传》，《神雕侠侣》，《倚天屠龙记》，《天龙八部》，《笑傲江湖》，《鹿鼎记》，《雪山飞狐》，《书剑恩仇录》,"妻子：林乐怡
女儿：查传讷，查传诗
儿子：查传倜，查传侠
前妻：朱玫，杜治芬
母亲：徐禄
表哥：徐志摩",金庸，本名查良镛，生于浙江省嘉兴市海宁市，1948年移居香港。当代武侠小说作家、新闻学家、企业家、政治评论家、社会活动家，“香港四大才子”之一。1944年考入重庆中央政治大学外交系。1946年秋，金庸进入上海《大公报》任国际电讯翻译。1948年，毕业于上海东吴大学法学院，并被调往《大公报》香港分社。1952年调入《新晚报》编辑副刊，并写出《绝代佳人》、《兰花花》等电影剧本。1959年，金庸等人于香港创办《明报》。1985年起，历任香港特别行政区基本法起草委员会委员、政治体制小组负责人之一，基本法咨询委员会执行委员会委员，以及香港特别行政区筹备委员会委员。1994年，受聘北京大学名誉教授。2000年，获得大紫荆勋章。2007年，出任香港中文大学文学院荣誉教授。2009年9月，被聘为中国作协第七届全国委员会名誉副主席；同年荣获2008影响世界华人终身成就奖。2010年，获得剑桥大学哲学博士学位。2018年10月30日，金庸在香港逝世，享年94岁。沙田香港文化博物馆“金庸馆”2018年11月12日下午4至6点设置吊唁册，让公众作最后致意。  入围感动中国2018候选人物。
毕淑敏,,,,,中国,北京外国语学院附属学校,汉族,1952年10月,,作家，心理医生,,新疆伊宁,《昆仑殇》，《红处方》,搭档：庄婧,毕淑敏，1952年10月出生于新疆伊宁，中共党员，国家一级作家、内科主治医师、北京作家协会副主席、北京师范大学文学硕士，心理学博士方向课程结业，注册心理咨询师。中国作协第九届全委会委员。1969年入伍，在喜马拉雅山、冈底斯山、喀喇昆仑山交汇的西藏阿里高原部队当兵11年。历任卫生员、助理军医、军医等。从事医学工作20年后，开始专业写作，1989年加入中国作家协会。2007年，毕淑敏以365万元的版税收入，荣登“2007第二届中国作家富豪榜”第14位，引发广泛关注。著有《毕淑敏文集》十二卷，长篇小说《红处方》《血玲珑》《拯救乳房》《女心理师》《鲜花手术》等畅销书。她的《学会看病》选入语文5年级上册第20课。曾获庄重文文学奖、小说月报第四、五、六届百花奖、当代文学奖、陈伯吹文学大奖、北京文学奖、昆仑文学奖、解放军文艺奖、青年文学奖、台湾第16届中国时报文学奖、台湾第17届联合报文学奖等各种文学奖30余次。
三毛,,陈平，陈懋平,,,中国,台北文化学院哲学系,汉族,1943年3月26日,1991年1月4日,作家，旅行家，演讲家,,重庆黄角桠,《梦里花落知多少》，《雨季不再来》，《撒哈拉的故事》,"丈夫：荷西
好友：贾平凹，杏林子
老师：韩湘宁",三毛，女，原名陈懋平，浙江定海人。1943年出生于重庆黄角桠。中国现代作家。1948年，随父母迁居台湾。1967年赴西班牙留学，后去德国、美国等。1973年定居西属撒哈拉沙漠和荷西结婚。1981年回台后，曾在文化大学任教，1984年辞去教职，而以写作、演讲为重心。1991年1月4日，三毛在医院去世，年仅四十八岁。
铁凝,,,,,中国,保定第十一中学高中,汉族,1957年9月,,作家,,北京,"《哦,香雪》，《大浴女》，《玫瑰门》，《麦秸垛》",丈夫：华生,铁凝，1957年生河北赵县，当代著名作家。主要著作：《玫瑰门》、《无雨之城》、《大浴女》、《麦秸垛》、《哦，香雪》、《孕妇和牛》以及散文、电影文学剧本等百余篇，总计300余万字。散文集《女人的白夜》获中国首届鲁迅文学奖，中篇小说《永远有多远》获第二届鲁迅文学奖。根据小说改编的电影《哦，香雪》获第41届柏林国际电影节青春片最高奖。电影《红衣少女》获1985年中国电影“金鸡奖”“百花奖”优秀故事片奖。部分作品译成英、法、德、日、俄、丹麦、西班牙等文字。亦有小说在香港和台湾出版。现任中国共产党第十九届中央委员会委员，中国文联主席、中国作家协会主席。
朱自清,,自华,字佩弦号秋实,,中国,北京大学,汉族,1898年11月22日,1948年8月12日,散文家，诗人，学者，民主战士,,江苏东海县,《春》，《绿》，《背影》，《荷塘月色》，《匆匆》,"妻子：陈竹隐
儿子：朱迈先，朱闰生
前妻：武钟谦
弟弟：朱物华
老师：吴梅",朱自清，原名自华，号秋实，后改名自清，字佩弦。中国近代散文家、诗人、学者、民主战士。原籍浙江绍兴，出生于江苏省东海县，后随祖父、父亲定居扬州，自称“我是扬州人”。1916年中学毕业并成功考入北京大学预科。1919年开始发表诗歌。1928年第一本散文集《背影》出版。1932年7月，任清华大学中国文学系主任。1934年，出版《欧游杂记》和《伦敦杂记》。1935年，出版散文集《你我》。1948年8月12日因胃穿孔病逝于北平，年仅50岁。
了一容,,张根粹,,,中国,,东乡族,1976年,,中国作家协会会员,,,,,了一容，本名张根粹，男，东乡族，中国伊斯兰教张门门宦教主后裔，一级作家，中国作家协会会员。从事于小说创作与书画理论研究。生于宁夏西海固的西吉县沙沟乡，原籍甘肃临夏。曾在天山草原牧马、巴颜喀拉山淘金，足迹遍及祖国西部。鲁迅文学院第三届中青年高级作家班学员。2001年参加全国青年作家创作研讨会。多次获宁夏自治区文艺奖，获中国当代少数民族文学研究创作新秀奖，十年《飞天》文学奖。90年代初始发作品，迄今已在全国各大文学期刊发表作品四百多万言，小说多次被《小说选刊》《小说精选》《北京文学中篇小说月报》《中华文学选刊》等转载，并入选年度最佳小说和各类文学书籍。部分作品被译介到国外。是西海固作家群中最具代表性的作家之一。
郭沫若,,郭开贞，沫若,字鼎堂，号尚武,,中国,九州帝国大学,汉族,1892年11月16日,1978年6月12日,文学家，历史学家,,中国-四川-乐山-沙湾,《郭沫若全集》，《甲骨文字研究》，《中国史稿》,"妻子：郭安娜
儿子：郭博，郭和夫，郭世英
师友：黄现璠",郭沫若，原名郭开贞，字鼎堂，号尚武，乳名文豹，笔名沫若、麦克昂、郭鼎堂、石沱、高汝鸿、羊易之等。1892年11月16日出生于四川乐山沙湾，毕业于日本九州帝国大学，现代文学家、历史学家、新诗奠基人之一、中国科学院首任院长、中国科学技术大学首任校长、苏联科学院外籍院士。1914年，郭沫若留学日本，在九州帝国大学学医。1921年，发表第一本新诗集《女神》；1930年，他撰写了《中国古代社会研究》。1949年；郭沫若当选为中华全国文学艺术会主席。曾任中国科学院哲学社会科学部主任、历史研究所第一所所长、中国人民保卫世界和平委员会主席、中日友好协会名誉会长、中国文联主席等要职，当选中国共产党第九、十、十一届中央委员，第二、第三、第五届全国政协副主席。1978年6月12日，因病长期医治无效，在北京逝世，终年86岁。
海岩,,侣海岩,,,中华人民共和国,,汉族,1954年11月7日,,作家，企业家，编剧，导演,,北京,《一场风花雪月的事》，《拿什么拯救你》，《我的爱人》，《玉观音》，《永不瞑目》,"儿子：侣皓吉吉
搭档：孙俪，李巍",海岩，本名侣海岩，1954年11月7日出生于北京，中国作家、编剧。1985年，出版人生第一部长篇小说《便衣警察》，并首次改编为电视剧呈现荧屏。1994年，创作《永不瞑目》，并获得第二届中国人口文化奖。2000年，因改编电视《永不瞑目》开始受人关注。2002年，海岩《拿什么拯救你，我的爱人》被改编为电视剧，并凭此获得北京电视春燕奖最佳编剧奖。2003年，他告别海润公司，加盟世纪英雄电影公司，并成立了“海岩影视工作室”。2004年，凭借编著《玉观音》改编的同名电视剧获得中国电视金鹰节最佳编剧奖；同年，入选 “福布斯中国名人榜”第62名。2005年，获选 “福布斯中国名人榜”第100名。2006年，以380万元版税的收入占据第一届中国作家富豪榜第16位。2007年，再次名列第二届中国作家富豪榜，排名第17位。2008年，获得《国剧盛典·回响30年》最具影响力人物奖；同年，斩获第三届中国作家富豪榜第20位。2009年，获得“新浪网络盛典60年专场”时代影响力文化人物奖，2010年，海岩获得“2009中华文化人物”终身成就称号。2013年，获得第八届中国作家富豪榜编剧作家第4名。
余秋雨,,秋雨,,,中国,上海戏剧学院,汉族,1946.8.23,,中国艺术研究院“秋雨书院”院长，上海图书馆理事长,,浙江省余姚县,《文化苦旅》，《山居笔记》，《君子之道》，《何谓文化》，《冰河》，《千年一叹》，《行者无疆》,妻子：马兰,余秋雨，1946年8月23日出生于浙江省宁波市余姚县，中国著名当代文化学者，理论家、文化史学家、作家、散文家。1966年毕业于上海戏剧学院戏剧文学系。1980年陆续出版了《戏剧理论史稿》《中国戏剧文化史述》《戏剧审美心理学》。1985年成为中国大陆最年轻的文科教授。1986年被授予上海十大学术精英。1987年被授予国家级突出贡献专家的荣誉称号。余秋雨以擅写历史文化散文著称，他的散文集《文化苦旅》在出版后广受欢迎。此外，他还著有《山居笔记》《霜冷长河》《千年一叹》等散文作品。
郭敬明,,第四维，小四，四爷，太子,,,中国,上海大学,汉族,1983年6月6日,,作家，导演，出品人，董事长,,四川省自贡市,《幻城》，《1995-2005夏至未至》，《小时代系列》，《爵迹》，《悲伤逆流成河》,好友：郭采洁，杨幂，落落,郭敬明，1983年6月6日出生于四川自贡，中国作家、上海最世文化发展有限公司董事长、《最小说》等杂志主编。高中时期以“第四维”为笔名在网站榕树下发表文章。2002年出版第一部作品《爱与痛的边缘》。2003年，因玄幻小说《幻城》而被人们熟知和关注。2004年，郭敬明成立“岛”工作室，开始主编《岛》系列杂志。2005年，郭敬明出版了小说《1995——2005夏至未至》。2007年，郭敬明出版了小说《悲伤逆流成河》。2008年至2012年陆续出版《小时代》“三部曲”。2013年6月27日，由郭敬明自编自导的同名电影《小时代》问世，并因此获得第16届上海国际电影节中国新片“最佳新人导演”奖。2013年12月，郭敬明出版散文集《愿风裁尘》，并在腾讯文学首发。2014年7月17日，郭敬明执导的电影《小时代3：刺金时代》上映。2015年6月3日，郭敬明宣布自己不仅以导演身份入主《爵迹》同时也参演《爵迹》。2015年7月9日，郭敬明执导的电影《小时代4：灵魂尽头》上映。2016年郭敬明所创作小说《夏至未至》将拍电视剧。2016年3月，郭敬明透露将出《爵迹》新书四部曲，电影《爵迹》将于暑期档同期上映。
池莉,,,,,中国,武汉科技大学，武汉大学,,1957年5月30日,,作家,,湖北仙桃,《来来往往》，《汉口情景》,,池莉，当代著名作家，湖北省文联副主席，武汉市文联主席，中国作家协会会员，连续四届全国人大代表。中国作协第九届全委会委员。现居武汉。她的作品大部分体现了武汉的特色，她写的人物大部分也和武汉这座特大城市的性格有关，多部作品被改编成电影和电视剧，社会反响强烈。
余华,,,,,中国,,汉,1960年4月3日,,作家,,浙江杭州,《活着》，《许三观卖血记》，《十八岁出门远行》，《鲜血梅花》，《世事如烟》，《兄弟》，《在细雨中呼喊》，《现实一种》，《战栗》,,余华，1960年4月3日生于浙江杭州，当代作家。中国作家协会第九届全国委员会委员。1977年中学毕业后，进入北京鲁迅文学院进修深造。1983年开始创作，同年进入浙江省海盐县文化馆。1984年开始发表小说，《活着》和《许三观卖血记》同时入选百位批评家和文学编辑评选的九十年代最具有影响的十部作品。1998年获意大利格林扎纳·卡佛文学奖。2005年获得中华图书特殊贡献奖。现就职于杭州文联。
沈石溪,,沈一鸣，中国动物小说大王,中国动物小说大王,,中国,,汉族,1952年10月,,作家，动物专家,,上海亭子间,《第七条猎狗》，《最后一头战象》，《斑羚飞渡》，《狼王梦》，《一只猎雕的遭遇》,,沈石溪，原名沈一鸣，2013第八届中国作家富豪榜上榜作家。1952年10月生于上海亭子间，祖籍浙江慈溪，汉族。中共党员。大专文化。职称文学创作二级。1982年10月加入省作协，1985年9月加入中国作协。 1968年初中毕业赴西双版纳傣族村寨插队落户。1975年应征入伍，曾任宣传部长。在1992年调任成都军区创作室。沈石溪最擅长动物小说。被称为“中国动物小说大王”。代表作品有：《猎狐》《第七条猎狗》《再被狐狸骗一次》《狼王梦》《白象家族》《斑羚飞渡》《最后一头战象》《一只猎雕的遭遇》《和乌鸦做邻居》《野犬女皇》、《鸟奴》、《混血豺王》《雪豹悲歌》等。
曹文轩,,,,,中国,北京大学,汉族,1954年1月,,作家，教师,,江苏盐城,《草房子》，《青铜葵花》,,曹文轩，1954年1月出生于江苏盐城，中国儿童文学作家。1977年毕业于北京大学中文系并留校任教。任北京作家协会副主席，当代文学教研室主任、中国作家协会儿童文学委员会委员。1991年，推出小说《山羊不吃天堂草》。1997年，出版小说《草房子》，并担任改编电影编剧。1999年，出版小说《根鸟》。2005年，推出小说《青铜葵花》。2016年4月4日，曹文轩获“国际安徒生奖”，同年8月20日，曹文轩在新西兰领取国际安徒生奖，这也是中国作家首次获此殊荣。2017年3月31日，获得2016-2017“影响世界华人大奖”。2017年12月，凭借特殊文体长篇小说《蜻蜓眼》获得首届“吴承恩长篇小说奖”。
肖复兴,,玉茂,,,中国,中央戏剧学院,汉族,1947年,,作家,,河北沧县,《我们曾经相爱》，《早恋》，《青春梦幻曲》,儿子：肖铁,肖复兴，1947年出生，中国著名作家，原籍河北沧州，现居北京，1968年到黑龙江生产建设兵团插队知青，曾任《人民文学》杂志社副主编，国务院新闻办《中国网》专栏作家、专家。当过大中小学教师，曾任《小说选刊》副主编。已出版50余种书，曾多次获全国及北京、上海地区优秀文学奖。
王蒙,,,,,中国,,汉族,1934年10月15日,,中国当代作家，学者,,河北南皮,《青春万岁》，《组织部来了个年轻人》,妻子：崔瑞芳,王蒙，男，河北南皮人，祖籍河北沧州，1934年10月15日生于北京。中共第十二届、十三届中央委员，第八、九、十届全国政协常委。中国当代作家、学者，文化部原部长、中国作家协会名誉主席，任解放军艺术学院、南京大学、浙江大学、上海师范大学、华中师范大学、新疆大学、新疆师范学院、中国海洋大学、安徽师范大学教授、名誉教授、顾问，中国海洋大学文新学院院长。现在居住在北京，著有长篇小说《青春万岁》、《活动变人形》等近百部小说，其作品反映了中国人民在前进道路上的坎坷历程。曾获意大利蒙德罗文学奖、日本创价学会和平与文化奖、俄罗斯科学院远东研究所与澳门大学荣誉博士学位、约旦作家协会名誉会员等荣衔。作品翻译为二十多种语言在各国发行。2017年12月，王蒙《奇葩奇葩处处哀》获得第十七届百花文学奖中篇小说奖。
李敖,,,,,中国,台湾大学,汉族,1935年4月25日,2018年3月18日,作家，近代史学者，时事批评家,,黑龙江省哈尔滨市,《李敖大全集》，《李敖回忆录》，《北京法源寺》，《阳痿美国》,"妻子：王小屯
女儿：李文，李谌
儿子：李戡
前妻：胡因梦
前女友：王尚勤",李敖，男，字敖之，出生于黑龙江省哈尔滨市，思想家，自由主义大师，国学大师，中国近代史学者，时事批评家，台湾作家，历史学家，诗人；台湾省无党派人士，曾任台湾“立法委员”，2008年任满，宣布退出台湾省政坛。因其文笔犀利、批判色彩浓厚，嬉笑怒骂皆成文章，所以自诩为“中国白话文第一人”。“以玩世来醒世，用骂世而救世”，有《北京法源寺》、《阳痿美国》、《李敖有话说》、《红色11》等100多本著作，前后共有九十六本被禁，创下历史纪录，被西方传媒追捧为“中国近代最杰出的批评家”。《李敖大全集》是他大部分著作的合集，共80册，凡3000万字。2005年9月访问大陆，在北大、清华、复旦三所顶尖高校发表了名为“金刚怒目、菩萨低眉、尼姑思凡”的系列演讲。2018年3月18日，李敖在台北不幸过世，享年83岁。预定演出票-国家大剧院官网提供
徐则臣,,,,,中国,北京大学,汉,1978年,,作家/小说家,,江苏东海,《耶路撒冷》，《午夜之门》，《夜火车》，《水边书》，《天上人间》,,徐则臣，男。1978年出生于江苏东海。毕业于北京大学中文系，文学硕士。徐则臣被认为是中国“70后作家的光荣”，其作品被认为“标示出了一个人在青年时代可能达到的灵魂眼界”。《如果大雪封门》荣获第六届鲁迅文学奖短篇小说奖。2014年凭借《耶路撒冷》获得老舍文学奖，并且在2015年提名第九届茅盾文学奖。2016年《耶路撒冷》获得首届海峡两岸新锐作家好书奖。
陈忠实,,,,,中国,西安市第三十四中学,汉族,1942年8月,2016年4月29日,作家,,陕西西安市灞桥区,《白鹿原》,,陈忠实，男，中国当代著名作家，中国作家协会副主席。《白鹿原》是其成名著作，其他代表作有短篇小说集《乡村》、《到老白杨树背后去》，以及文论集《创作感受谈》。 中篇小说集《初夏》、《四妹子》，《陈忠实小说自选集》，《陈忠实文集》，散文集《告别白鸽》等。1997年获茅盾文学奖，其中《白鹿原》被教育部列入“大学生必读”系列，已发行逾160万册，被改编成秦腔、话剧、舞剧、电影等多种艺术形式。2006年12月15日，“2006第一届中国作家富豪榜”重磅发布，陈忠实以455万元的版税收入，荣登作家富豪榜第13位，引发广泛关注。2016年4月29日7:40左右，因病在西安西京医院去世。2016年4月30日，习近平、刘云山、王岐山、胡锦涛、曾庆红、栗战书、赵乐际、刘奇葆等中央领导送了花圈。
叶延滨,,,,,中国,,,1948年11月17日,,主编,,哈尔滨,《诗刊》，《不悔》，《二重奏》,,叶延滨，男，现任《诗刊》主编，中国作家协会全国委员会委员。1948年11月17日生于哈尔滨，1982年分配到四川作家协会《星星》诗刊任编辑、副主编、主编共12年整。1994年调北京广播学院文艺系任系主任、教授。1995年调中国作家协会任《诗刊》主编等职。曾获中国作家协会优秀中青年诗人诗歌奖、第三届中国新诗集奖以及十月文学奖、四川文学奖、北京文学奖、郭沫若文学奖等40余种全国及省以上的文学艺术奖。
郝永勃,,,,,中国,,汉族,,,《淄博晚报》副刊编辑，主任，副总编辑,,山东昌邑,《献给受难者的花》,,郝永勃，山东昌邑人。中共党员。1985年后任淄博市青少年宫文学教师，1993年后任《淄博晚报》副刊编辑、主任、副总编辑。
李敬泽,,,,,中国,北京大学中文系,汉族,1964年1月,,文学，作家,,山西芮城,《颜色的名字》，《通往故乡的道路》，《看来看去或秘密交流》,,李敬泽，1964年1月出生，祖籍山西。1980年考入北京大学中文系。1984年毕业后在《小说选刊》工作，任《小说选刊》杂志编辑，1990年调至《人民文学》杂志，历任《人民文学》杂志编辑、第一编辑室副主任、主任、《人民文学》杂志副主编。中国作家协会第九届全国委员会委员。
苏童,,,,,中国,北京师范大学,,1963年1月,,文学，编辑,,江苏苏州,《妻妾成群》，《1934年的逃亡》，《河岸》,,苏童，原名童忠贵，中国当代著名作家。1980年考入北京师范大学中文系，现为中国作家协会江苏分会驻会专业作家、江苏省作协副主席。代表作包括《园艺》、《红粉》、《妻妾成群》、《河岸》和《碧奴》等。中篇小说《妻妾成群》入选20世纪中文小说100强，并且被张艺谋改编成电影《大红灯笼高高挂》，获提名第64届奥斯卡最佳外语片，蜚声海内外。2015年8月16日，苏童第5部作品《黄雀记》获第九届茅盾文学奖。2018年出版合著《好好读书：名家给年轻人的读书课》。2016年12月，中国作家协会第九届全国委员会委员。
韩作荣,,何安,,,中国,黑龙江农业机械化学校,,1947,2013,,,黑龙江海伦,,,韩作荣，笔名何安，黑龙江海伦人，中共党员。1966年毕业于黑龙江农业机械化学校。1968年参加工作，历任工人、解放军工程兵战士、排长、师政治部干事，转业后任《诗刊》编辑，《人民文学》编辑、副主任、主任、副主编、常务副主编、主编。中国作协第六、七、八届全委会委员。2012月4月当选为中国诗歌学会常务副会长，2013年6月当选为中国诗歌学会会长。2013年11月12日凌晨因病医治无效在京逝世，享年66岁。
郑渊洁,,“童话大王”,,,中国,北京马甸小学肄业,汉族,1955年6月15日,,作家，慈善家,,河北石家庄,《童话大王》，《舒克和贝塔》，《皮皮鲁和鲁西西》，《魔方大厦》,"女儿：郑亚飞
儿子：郑亚旗
好友：崔永元",郑渊洁，1955年6月15日生于河北石家庄，现代作家、演讲家、慈善家。无党派。其父原籍山西临汾，其母原籍浙江绍兴。1970年至1976年服兵役在空军航空兵维修歼6战机。退役后当过工人。1977年开始文学创作。2006年创作的《皮皮鲁总动员》名列全球第四名。2008年郑渊洁成为中国作家获国际版权创意金奖第一人。2008年12月5日，时任国家主席胡锦涛向郑渊洁颁发“中华慈善楷模奖”。2011年开发出中国第一款普法网络游戏《皮皮鲁和419宗罪》。2009年，荣登第四届中国作家富豪榜榜首。2012年，荣登第七届中国作家富豪榜榜首 。2017年，荣登第十一届中国作家富豪榜榜首。
周作人,,知堂,,,中国,,汉族,1885年1月16日,1967年5月6日,作家,,浙江绍兴,《鲁迅的青年时代》,"妻子：羽太信子
母亲：鲁瑞
哥哥：鲁迅
弟弟：周建人
妻妹：羽太芳子
侄子：周海婴
学生：俞平伯",周作人原名櫆寿，字星杓，又名启明、启孟、起孟，笔名遐寿、仲密、岂明，号知堂、药堂、独应等，浙江绍兴人。是鲁迅之弟，周建人之兄。中国现代著名散文家、文学理论家、评论家、诗人、翻译家、思想家，中国民俗学开拓人，新文化运动的杰出代表。历任国立北京大学教授、东方文学系主任，燕京大学新文学系主任、客座教授。新文化运动中是《新青年》的重要同人作者，并曾任“新潮社”主任编辑。“五四运动”之后，与郑振铎、沈雁冰、叶绍钧、许地山等人发起成立“文学研究会”；并与鲁迅、林语堂、孙伏园等创办《语丝》周刊，任主编和主要撰稿人。曾经担任北平世界语学会会长。
毛泽东,,石三伢子，二十八画生,,,中华人民共和国,湖南省立第一师范学校,汉,1893年12月26日,1976年09月09日,,,湖南省长沙府湘潭县韶山冲,《矛盾论》，《实践论》，《论持久战》，《沁园春·雪》,"妻子：江青，贺子珍，杨开慧，罗一秀
女儿：李讷
儿子：毛岸红，毛岸龙，毛岸英，毛岸青",毛泽东，字润之，笔名子任。湖南湘潭人。中国人民的领袖，马克思主义者，伟大的无产阶级革命家、战略家和理论家，中国共产党、中国人民解放军和中华人民共和国的主要缔造者和领导人，诗人，书法家。1949至1976年，毛泽东担任中华人民共和国最高领导人。他对马克思列宁主义的发展、军事理论的贡献以及对共产党的理论贡献被称为毛泽东思想。因毛泽东担任过的主要职务几乎全部称为主席，所以也被人们尊称为“毛主席”。毛泽东被视为现代世界历史中最重要的人物之一，《时代》杂志也将他评为20世纪最具影响100人之一。
