本名,外文名,别名,字号,所处时代,国籍,毕业院校,民族,出生时间,逝世时间,职业,官职,出生地,代表作品,人物关系,简介
许浑,,许晦,字用晦，一作字仲晦,晚唐,,,汉族,约791,约858,,,润州丹阳,《故洛城》，《咸阳城东楼》，《姑苏怀古》,,许浑，字用晦，唐代诗人，润州丹阳人。晚唐最具影响力的诗人之一，其一生不作古诗，专攻律体；题材以怀古、田园诗为佳，艺术则以偶对整密、诗律纯熟为特色。唯诗中多描写水、雨之景，后人拟之与诗圣杜甫齐名，并以“许浑千首诗，杜甫一生愁”评价之。成年后移家京口丁卯涧，以丁卯名其诗集，后人因称“许丁卯”。许诗误入杜牧集者甚多。代表作有《咸阳城东楼》。
韩愈,,昌黎先生，韩吏部，韩昌黎，韩文公,字退之,唐朝,,,汉族,768年,824年12月25日,,吏部侍郎,,《论佛骨表》，《师说》，《进学解》,,韩愈，字退之，河南河阳人。自称“郡望昌黎”，世称“韩昌黎”、“昌黎先生”。唐代杰出的文学家、思想家、哲学家、政治家。贞元八年，韩愈登进士第，两任节度推官，累官监察御史。后因论事而被贬阳山，历都官员外郎、史馆修撰、中书舍人等职。元和十二年，出任宰相裴度的行军司马，参与讨平“淮西之乱”。其后又因谏迎佛骨一事被贬至潮州。晚年官至吏部侍郎，人称“韩吏部”。长庆四年，韩愈病逝，年五十七，追赠礼部尚书，谥号“文”，故称“韩文公”。元丰元年，追封昌黎伯，并从祀孔庙。韩愈是唐代古文运动的倡导者，被后人尊为“唐宋八大家”之首，与柳宗元并称“韩柳”，有“文章巨公”和“百代文宗”之名。后人将其与柳宗元、欧阳修和苏轼合称“千古文章四大家”。他提出的“文道合一”、“气盛言宜”、“务去陈言”、“文从字顺”等散文的写作理论，对后人很有指导意义。著有《韩昌黎集》等。
韦应物,,韦苏州,,唐代,,,汉族,737年,792年,诗人，文学家,,长安,《寄全椒山中道士》，《学仙二首》，《韦苏州集》，《观田家》,,韦应物，中国唐代诗人。汉族，长安人。文昌右相韦待价曾孙，出身京兆韦氏逍遥公房。今传有10卷本《韦江州集》、两卷本《韦苏州诗集》、10卷本《韦苏州集》。散文仅存一篇。因出任过苏州刺史，世称“韦苏州”。诗风恬淡高远，以善于写景和描写隐逸生活著称。
李贺,,李昌谷，诗鬼,字长吉,中唐,,,汉族,约790年,约817年,,,河南福昌,《神弦曲》，《雁门太守行》，《金铜仙人辞汉歌》，《昌谷集》,,李贺，字长吉，是“长吉体诗歌开创者。”唐代河南福昌人，家居福昌昌谷，后世称李昌谷，是唐宗室，唐高祖李渊的叔父李亮后裔。有“诗鬼”之称，是与“诗圣”杜甫、“诗仙”李白、“诗佛”王维相齐名的唐代著名诗人。有《雁门太守行》、《李凭箜篌引》等名篇。著有《昌谷集》。李贺是中唐的浪漫主义诗人，与李白、李商隐称为唐代三李。是中唐到晚唐诗风转变期的一个代表者。他所写的诗大多是慨叹生不逢时和内心苦闷，抒发对理想、抱负的追求；对当时藩镇割据、宦官专权和人民所受的残酷剥削都有所反映。留下了“黑云压城城欲摧”，“雄鸡一声天下白”，“天若有情天亦老”等千古佳句。李贺的诗作想象极为丰富，经常应用神话传说来托古寓今，所以后人常称他为“鬼才”，“诗鬼”，创作的诗文为“鬼仙之辞”。有“‘太白仙才，长吉鬼才’之说。李贺是继屈原、李白之后，中国文学史上又一位颇享盛誉的浪漫主义诗人。李贺因长期的抑郁感伤，焦思苦吟的生活方式，元和八年因病辞去奉礼郎回昌谷，27岁英年早逝。
刘禹锡,,刘宾客，诗豪,庐山人，梦得,唐朝,,,汉族,772年,约842年,,,,《刘梦得文集》，《刘宾客文集》,,刘禹锡，字梦得，河南洛阳人，自称“家本荥上，籍占洛阳”，又自言系出中山。其先为中山靖王刘胜。唐朝文学家、哲学家，有“诗豪”之称。刘禹锡贞元九年，进士及第，初在淮南节度使杜佑幕府中任记室，为杜佑所器重，后从杜佑入朝，为监察御史。贞元末，与柳宗元，陈谏、韩晔等结交于王叔文，形成了一个以王叔文为首的政治集团。后历任朗州司马、连州刺史、夔州刺史、和州刺史、主客郎中、礼部郎中、苏州刺史等职。会昌时，加检校礼部尚书。卒年七十，赠户部尚书。刘禹锡诗文俱佳，涉猎题材广泛，与柳宗元并称“刘柳”，与韦应物、白居易合称“三杰”，并与白居易合称“刘白”，有《陋室铭》《竹枝词》《杨柳枝词》《乌衣巷》等名篇。哲学著作《天论》三篇，论述天的物质性，分析“天命论”产生的根源，具有唯物主义思想。有《刘梦得文集》，存世有《刘宾客集》。
温庭筠,,温岐，温庭云，温廷筠，温八叉，温八吟,字飞卿,唐代,,,汉族,约812年,约866年,,,太原祁,《商山早行》，《过陈琳墓》，《苏武庙》，《菩萨蛮》,弟弟：温庭皓,温庭筠，原名岐，字飞卿，唐代诗人、词人。太原祁人。温庭筠是唐初宰相温彦博之后裔，出生于没落贵族家庭，富有天赋，文思敏捷，每入试，押官韵，八叉手而成八韵，故有“温八叉”或“温八吟”之称。然恃才不羁，又好讥刺权贵，多犯忌讳，又不受羁束，纵酒放浪。因此得罪权贵，屡试不第，一生坎坷，终身潦倒。唐宣宗朝试宏辞，温庭筠代人作赋，因扰乱科场，贬为隋县尉。后襄阳刺史署为巡官，授检校员外郎，不久离开襄阳，客于江陵。唐懿宗时曾任方城尉，官终国子助教。温庭筠精通音律。工诗，与李商隐齐名，时称“温李”。其诗辞藻华丽，秾艳精致，内容多写闺情。其词更是刻意求精，注重词的文采和声情，艺术成就在晚唐诸词人之上，为“花间派”首要词人，被尊为“花间派”之鼻祖，对词的发展影响较大。在词史上，与韦庄齐名，并称“温韦”。文笔与李商隐、段成式齐名，三人都排行十六，故称“三十六体”。其诗今存三百多首，有清顾嗣立重为校注的《温飞卿集笺注》。其词今存七十余首，收录于《花间集》《金荃词》等书中。
李商隐,,李义山,字义山，号玉溪生，又号樊南生,唐朝,,,汉族,约813年,约858年,,秘书省校书郎，弘农尉,河南荥阳,《李义山诗集》,儿子：李衮师,李商隐，字义山，号玉溪生，又号樊南生，祖籍怀州河内，出生于郑州荥阳，晚唐著名诗人，和杜牧合称“小李杜”，李商隐又与李贺、李白合称“三李”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。李商隐是晚唐乃至整个唐代，为数不多的刻意追求诗美的诗人。他擅长诗歌写作，骈文文学价值也很高。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。唐文宗开成二年，李商隐登进士第，曾任秘书省校书郎、弘农尉等职。因卷入“牛李党争”的政治旋涡而备受排挤，一生困顿不得志。唐宣宗大中末年，李商隐在郑州病故，葬于故乡荥阳。也有人说他葬于祖籍地怀州雍店之东原的清化北山下。
杜牧,,杜牧之，后世称杜樊川,字牧之，号樊川,唐朝,,,汉族,公元803年,约公元852年,,,京兆万年,《阿房宫赋》，《遣怀》，《樊川文集》,,杜牧，字牧之，号樊川居士，汉族，京兆万年人。杜牧是唐代杰出的诗人、散文家，是宰相杜佑之孙，杜从郁之子。唐文宗大和二年26岁中进士，授弘文馆校书郎。后赴江西观察使幕，转淮南节度使幕，又入观察使幕，理人国史馆修撰，膳部、比部、司勋员外郎，黄州、池州、睦州刺史等职。因晚年居长安南樊川别墅，故后世称“杜樊川”，著有《樊川文集》。杜牧的诗歌以七言绝句著称，内容以咏史抒怀为主，其诗英发俊爽，多切经世之物，在晚唐成就颇高。杜牧人称“小杜”，以别于杜甫，&quot;大杜“。与李商隐并称“小李杜”。
罗隐,,,字昭谏,唐末五代,,,汉,公元833年,公元909年,诗人，文学家，思想家,,杭州新城,《甲乙集》，《谗书》，《太平两同书》,,罗隐，字昭谏，杭州新城人，唐代诗人。大中十三年底至京师，应进士试，历七年不第。咸通八年乃自编其文为《谗书》，益为统治阶级所憎恶，所以罗衮赠诗说：“谗书虽胜一名休”。后来又断断续续考了几年，总共考了十多次，自称“十二三年就试期”，最终还是铩羽而归，史称“十上不第”。黄巢起义后，避乱隐居九华山，光启三年，55岁时归乡依吴越王钱镠，历任钱塘令、司勋郎中、给事中等职。公元909年去世，享年77岁。著有《谗书》及《太平两同书》等，思想属于道家，其书乃在力图提炼出一套供天下人使用的“太平匡济术”，是乱世中黄老思想复兴发展的产物。
皮日休,Pi，Rixiu,皮袭美，皮逸少，鹿门子,鹿门子,晚唐,唐朝,,汉族,约838年,约883年,文学家,,竟陵,《皮日休集》，《文薮》，《胥台集》，《十原》,领导：黄巢,皮日休，晚唐文学家。字袭美，一字逸少，汉族，复州竟陵人。曾居住在鹿门山，道号鹿门子，又号间气布衣、醉吟先生、醉士等。咸通八年进士及第，在唐时历任苏州军事判官、著作佐郎、太常博士、毗陵副使。后参加黄巢起义，或言“陷巢贼中”，任翰林学士，起义失败后不知所踪。皮日休是晚唐著名诗人、文学家，与陆龟蒙齐名，世称&quot;皮陆&quot;。其诗文兼有奇朴二态，且多为同情民间疾苦之作，被鲁迅赞誉为唐末“一塌糊涂的泥塘里的光彩和锋芒”。《新唐书·艺文志》录有《皮日休集》、《皮子》、《皮氏鹿门家钞》多部，对于社会民生有深刻的洞察和思考。
欧阳修,,欧阳文忠，欧文忠,字永叔，号醉翁，六一居士,北宋,,,汉族,1007年8月1日,1072年9月22日,,枢密副使，参知政事，兵部尚书,绵州,《欧阳文忠公集》,好友：苏洵，曾巩,欧阳修，字永叔，号醉翁，晚号六一居士，汉族，吉州永丰人，北宋政治家、文学家，且在政治上负有盛名。因吉州原属庐陵郡，以“庐陵欧阳修”自居。官至翰林学士、枢密副使、参知政事，谥号文忠，世称欧阳文忠公。累赠太师、楚国公。与韩愈、柳宗元、苏轼、苏洵、苏辙、王安石、曾巩合称“唐宋八大家”，并与韩愈、柳宗元、苏轼被后人合称“千古文章四大家”。欧阳修是在宋代文学史上最早开创一代文风的文坛领袖。领导了北宋诗文革新运动，继承并发展了韩愈的古文理论。他的散文创作的高度成就与其正确的古文理论相辅相成，从而开创了一代文风。欧阳修在变革文风的同时，也对诗风、词风进行了革新。在史学方面，也有较高成就，他曾主修《新唐书》，并独撰《新五代史》。有《欧阳文忠集》传世。
苏轼,,苏东坡，苏文忠，苏仙,字子瞻，又字和仲，号东坡，又号铁冠道人，海上道人,北宋,,,汉族,公元1037年1月8日,公元1101年8月24日,,,四川眉山,《东坡七集》，《东坡易传》，《东坡乐府》,"妻子：王闰之，王弗
儿子：苏迈
父亲：苏洵
弟弟：苏辙
好友：黄庭坚",苏轼，字子瞻，又字和仲，号铁冠道人、东坡居士，世称苏东坡、苏仙，汉族，眉州眉山人，祖籍河北栾城，北宋著名文学家、书法家、画家。嘉祐二年，苏轼进士及第。宋神宗时曾在凤翔、杭州、密州、徐州、湖州等地任职。元丰三年，因“乌台诗案”被贬为黄州团练副使。宋哲宗即位后，曾任翰林学士、侍读学士、礼部尚书等职，并出知杭州、颍州、扬州、定州等地，晚年因新党执政被贬惠州、儋州。宋徽宗时获大赦北还，途中于常州病逝。宋高宗时追赠太师，谥号“文忠”。苏轼是北宋中期的文坛领袖，在诗、词、散文、书、画等方面取得了很高的成就。其文纵横恣肆；其诗题材广阔，清新豪健，善用夸张比喻，独具风格，与黄庭坚并称“苏黄”；其词开豪放一派，与辛弃疾同是豪放派代表，并称“苏辛”；其散文著述宏富，豪放自如，与欧阳修并称“欧苏”，为“唐宋八大家”之一。苏轼亦善书，为“宋四家”之一；擅长文人画，尤擅墨竹、怪石、枯木等。有《东坡七集》、《东坡易传》、《东坡乐府》、《潇湘竹石图卷》、《古木怪石图卷》等传世。
陈师道,,陈后山,字履常，一字无己，号后山居士,北宋,,,汉,皇祐五年,建中靖国元年十二月廿九,诗人，词人,,彭城,《后山先生集》，《后山词》,,陈师道北宋诗人。字履常，一字无己，号后山居士，汉族，彭城人。元祐初苏轼等荐其文行，起为徐州教授，历仕太学博士、颍州教授、秘书省正字。一生安贫乐道，闭门苦吟，有“闭门觅句陈无己”之称。陈师道为苏门六君子之一，江西诗派重要作家。亦能词，其词风格与诗相近，以拗峭惊警见长。但其诗、词存在着内容狭窄、词意艰涩之病。著有《后山先生集》，词有《后山词》。
黄庭坚,,黄山谷，豫章先生,字鲁直，号山谷道人，晚号涪翁,北宋,,,汉族,1045年8月9日,1105年5月24日,,,洪州分宁,《山谷词》,好友：苏轼,黄庭坚，字鲁直，号山谷道人，晚号涪翁，洪州分宁人，北宋著名文学家、书法家、盛极一时的江西诗派开山之祖，与杜甫、陈师道和陈与义素有“一祖三宗”之称。与张耒、晁补之、秦观都游学于苏轼门下，合称为“苏门四学士”。生前与苏轼齐名，世称“苏黄”。著有《山谷词》，且黄庭坚书法亦能独树一格，为“宋四家”之一。北京大学教授、引碑入草开创者的李志敏评价：“黄庭坚引鹤铭入草，雄强逸荡，境界一新”。
尤袤,,,字延之，号遂初居士，晚号乐溪，木石老逸民，小字季长,南宋,,,汉族,1127年4月2日,1193年,,,常州无锡,《遂初堂书目》，《梁溪集》,,尤袤，字延之，小字季长，号遂初居士，晚号乐溪、木石老逸民，常州无锡人。南宋著名诗人、大臣、藏书家。祖父尤申，父尤时享，治史擅诗。绍兴十八年，尤袤登进士第。初为泰兴令。孝宗朝，为大宗正丞，累迁至太常少卿，权充礼部侍郎兼修国史，又曾权中书舍人兼直学士。光宗朝为焕章阁侍制、给事中，后授礼部尚书兼侍读。卒后谥号“文简”。尤袤与杨万里、范成大、陆游并称为“南宋四大诗人”。原有《梁溪集》五十卷，早佚。清人尤侗辑有《梁溪遗稿》两卷，刊行于时。
杨万里,,杨廷秀，杨诚斋，杨文节，诚斋先生,字廷秀，号诚斋,南宋,,,汉族,1127年10月29日,1206年6月15日,,宝谟阁直学士,吉州吉水,《诚斋集》,"儿子：杨长孺
好友：张浚
老师：王庭",杨万里，字廷秀，号诚斋。吉州吉水人。南宋著名诗人、大臣，与陆游、尤袤、范成大并称为“中兴四大诗人”。因宋光宗曾为其亲书“诚斋”二字，故学者称其为“诚斋先生”。绍兴二十四年，杨万里登进士第，历仕宋高宗、孝宗、光宗、宁宗四朝，曾任国子博士、广东提点刑狱、太子侍读、秘书监等职，官至宝谟阁直学士，封庐陵郡开国侯。开禧二年，杨万里病逝，年八十。获赠光禄大夫，谥号“文节”。杨万里一生作诗两万多首，传世作品有四千二百首，被誉为一代诗宗。他创造了语言浅近明白、清新自然，富有幽默情趣的“诚斋体”。杨万里的诗歌大多描写自然景物，且以此见长。他也有不少篇章反映民间疾苦、抒发爱国感情的作品。著有《诚斋集》等。概述内图片来源：
范成大,,范明州，范参政，范资政，范文穆,字至能，一字幼元，早号此山居士，晚号石湖居士,南宋,,,宋人,1126年6月26日,1193年10月1日,,参知政事，资政殿大学士,平江府吴县,《石湖集》，《揽辔录》，《吴船录》，《吴郡志》，《桂海虞衡志》,,范成大，字至能，一字幼元，早年自号此山居士，晚号石湖居士。汉族，平江府吴县人。南宋名臣、文学家。宋高宗绍兴二十四年，范成大登进士第，累官礼部员外郎兼崇政殿说书。乾道三年，知处州。乾道六年出使金国，不畏强暴，不辱使命，还朝后除中书舍人。乾道七年，出知静江府。淳熙二年，受任敷文阁待制、四川制置使。淳熙五年，拜参知政事。晚年退居石湖，加资政殿大学士。绍熙四年逝世，年六十八。累赠少师、崇国公，谥号“文穆”，后世遂称其为“范文穆”。范成大素有文名，尤工于诗。他从江西派入手，后学习中、晚唐诗，继承白居易、王建、张籍等诗人新乐府的现实主义精神，终于自成一家。风格平易浅显、清新妩媚。诗题材广泛，以反映农村社会生活内容的作品成就最高。与杨万里、陆游、尤袤合称南宋“中兴四大诗人”。其作品在南宋末年即产生了显著的影响，到清初影响更大，有“家剑南而户石湖”的说法。著有《石湖集》、《揽辔录》、《吴船录》、《吴郡志》、《桂海虞衡志》等。
陆游,,,字务观，号放翁,南宋,,,汉族,公元1125年11月13日,公元1210年1月26日,,,越州山阴,《剑南诗稿》，《渭南文集》，《老学庵笔记》,前妻：唐婉,陆游，字务观，号放翁，汉族，越州山阴人，尚书右丞陆佃之孙，南宋文学家、史学家、爱国诗人。陆游生逢北宋灭亡之际，少年时即深受家庭爱国思想的熏陶。宋高宗时，参加礼部考试，因受秦桧排斥而仕途不畅。宋孝宗即位后，赐进士出身，历任福州宁德县主簿、敕令所删定官、隆兴府通判等职，因坚持抗金，屡遭主和派排斥。乾道七年，应四川宣抚使王炎之邀，投身军旅，任职于南郑幕府。次年，幕府解散，陆游奉诏入蜀，与范成大相知。宋光宗继位后，升为礼部郎中兼实录院检讨官，不久即因“嘲咏风月”罢官归居故里。嘉泰二年，宋宁宗诏陆游入京，主持编修孝宗、光宗《两朝实录》和《三朝史》，官至宝章阁待制。书成后，陆游长期蛰居山阴，嘉定二年与世长辞，留绝笔《示儿》。陆游一生笔耕不辍，诗词文俱有很高成就。其诗语言平易晓畅、章法整饬谨严，兼具李白的雄奇奔放与杜甫的沉郁悲凉，尤以饱含爱国热情对后世影响深远。词与散文成就亦高，刘克庄《后村诗话续集》谓其词“激昂慷慨者，稼轩不能过”。有手定《剑南诗稿》85卷，收诗9000余首。又有《渭南文集》50卷、《老学庵笔记》10卷及《南唐书》等。书法遒劲奔放，存世墨迹有《苦寒帖》等。
王安石,,王荆公，王文公，临川先生,字介甫，号半山,北宋,,,汉族,1021年12月18日,1086年5月21日,,左仆射，观文殿大学士，司空,临川,《王临川集》，《临川集拾遗》，《临川先生文集》,"儿子：王雱
父亲：王益
弟弟：王安礼
学生：王无咎
对手：徐禧",王安石，字介甫，号半山，汉族，临川人，北宋著名思想家、政治家、文学家、改革家。庆历二年，王安石进士及第。历任扬州签判、鄞县知县、舒州通判等职，政绩显著。熙宁二年，任参知政事，次年拜相，主持变法。因守旧派反对，熙宁七年罢相。一年后，宋神宗再次起用，旋又罢相，退居江宁。元祐元年，保守派得势，新法皆废，郁然病逝于钟山，追赠太傅。绍圣元年，获谥“文”，故世称王文公。王安石潜心研究经学，著书立说，被誉为“通儒”，创“荆公新学”，促进宋代疑经变古学风的形成。在哲学上，他用“五行说”阐述宇宙生成，丰富和发展了中国古代朴素唯物主义思想；其哲学命题“新故相除”，把中国古代辩证法推到一个新的高度。在文学上，王安石具有突出成就。其散文简洁峻切，短小精悍，论点鲜明，逻辑严密，有很强的说服力，充分发挥了古文的实际功用，名列“唐宋八大家”；其诗“学杜得其瘦硬”，擅长于说理与修辞，晚年诗风含蓄深沉、深婉不迫，以丰神远韵的风格在北宋诗坛自成一家，世称“王荆公体”；其词写物咏怀吊古，意境空阔苍茫，形象淡远纯朴，营造出一个士大夫文人特有的情致世界。有《王临川集》、《临川集拾遗》等存世。
元好问,,元才子，遗山先生,字裕之，号遗山,金朝→大蒙古国,,,汉族,1190年8月10日,1257年10月12日,,知制诰,太原秀容,《遗山集》，《中州集》，《续夷坚志》,,元好问，字裕之，号遗山，世称遗山先生。太原秀容人。金末至大蒙古国时期著名文学家、历史学家。元好问自幼聪慧，有“神童”之誉。金宣宗兴定五年，元好问进士及第。正大元年，又以宏词科登第后，授权国史院编修，官至知制诰。金朝灭亡后，元好问被囚数年。晚年重回故乡，隐居不仕，于家中潜心著述。元宪宗七年，元好问逝世，年六十八。元好问是宋金对峙时期北方文学的主要代表、文坛盟主，又是金元之际在文学上承前启后的桥梁，被尊为“北方文雄”、“一代文宗”。他擅作诗、文、词、曲。其中以诗作成就最高，其“丧乱诗”尤为有名；其词为金代一朝之冠，可与两宋名家媲美；其散曲虽传世不多，但当时影响很大，有倡导之功。有《元遗山先生全集》、《中州集》。
王冕,,王元章，煮石山农，梅花屋主,,,元末明初,,汉,1287年,1359年,画家，诗人，篆刻家,,浙江省绍兴市诸暨市枫桥镇,《墨梅》，《白梅》，《南枝春早图》，《墨梅图》，《三君子图》,,王冕，字元章，号煮石山农，亦号“食中翁”、“梅花屋主”等，浙江省绍兴市诸暨枫桥人，元朝著名画家、诗人、篆刻家。他出身贫寒，幼年替人放牛，靠自学成才。王冕性格孤傲，鄙视权贵，诗作多同情人民苦难、谴责豪门权贵、轻视功名利禄、描写田园隐逸生活之作。有《竹斋集》3卷，续集2卷。一生爱好梅花，种梅、咏梅，又攻画梅。所画梅花花密枝繁，生意盎然，劲健有力，对后世影响较大。存世画迹有《南枝春早图》《墨梅图》《三君子图》等。能治印，创用花乳石刻印章，篆法绝妙。《明史》有传。
高启,Gao，Qi,高季迪，青丘子,,,明朝,,汉族,1336年,1373年,诗人,,江苏苏州,《高太史大全集》，《凫藻集》，《扣舷集》,,高启，汉族，元末明初著名诗人，文学家。字季迪，号槎轩，长洲人。元末隐居吴淞青丘，自号青丘子。高启才华高逸，学问渊博，能文，尤精于诗，与刘基、宋濂并称“明初诗文三大家”，又与杨基、张羽、徐贲被誉为“吴中四杰”，当时论者把他们比作“初唐四杰”。又与王行等号“北郭十友”。明洪武初，以荐参修《元史》，授翰林院国史编修官，受命教授诸王。擢户部右侍郎，力辞不受。苏州知府魏观在张士诚宫址改修府治，获罪被诛。高启曾为之作《郡治上梁文》，有“龙蟠虎踞”四字，被疑为歌颂张士诚，连坐腰斩。著有《高太史大全集》、《凫藻集》等。
杨慎,,杨文宪,字用修，号升庵,明朝,,,汉族,1488年12月8日,1559年8月8日,,翰林院修撰,北京孝顺衚衕,《升庵集》，《江陵别内》，《宝井篇》，《滇池涸》,"父亲：杨廷和
好友：曾屿",杨慎，字用修，初号月溪、升庵，又号逸史氏、博南山人、洞天真逸、滇南戍史、金马碧鸡老兵等。四川新都人，祖籍庐陵。明朝著名文学家，明代三才子之首，东阁大学士杨廷和之子。杨慎于正德六年状元及第，官翰林院修撰，参与编修《武宗实录》。武宗微行出居庸关，他上疏抗谏。世宗继位，复为翰林修撰，任经筵讲官。嘉靖三年，因“大礼议”受廷杖，谪戍于云南永昌卫。曾率家奴助平寻甸安铨、武定凤朝文叛乱，此后虽往返于四川、云南等地，仍终老于永昌卫。嘉靖三十八年，杨慎卒于戍所，年七十二。明穆宗时追赠光禄寺少卿，明熹宗时追谥“文宪”，世称“杨文宪”。杨慎在滇南三十年，博览群书。后人论及明代记诵之博、著述之富，推杨慎为第一。他又能文、词及散曲，论古考证之作范围颇广。其诗沉酣六朝，揽采晚唐，创为渊博靡丽之词，造诣深厚，独立于当时风气之外。著作达四百余种，后人辑为《升庵集》。
厉鹗,,,字：太鸿，号：樊榭，又字：雄飞,清代,,,,1692年,1752年,,,,《樊榭山房集》，《宋诗纪事》，《辽史拾遗》，《东城杂记》,,厉鹗，字太鸿，又字雄飞，号樊榭、南湖花隐等，钱塘人，清代著名诗人、学者，浙西词派中坚人物。康熙五十九年，李绂在浙江主持乡试时，看到厉鹗的试卷，大为欣赏。厉鹗于该年考中举人。进京以后，以诗为汤右曾所赏识，但未能考中进士。乾隆元年，为浙江巡抚程元章推荐，参加“博学鸿词”考试。由于考试过程中，误将《论》置于《诗》前，以不合程式再次名落孙山。此后，终身未仕。厉鹗在词方面具有极高的造诣，为浙西词派中期的代表。在词派问题上，他推崇姜夔、张炎等人为首的宋词南宗，贬低辛弃疾等人的北宗。厉鹗以“清”与“雅”作为词好坏的标准。他主张在艺术特点上，词应该是幽隽清绮，婉约淡冷；作品蕴意上，词要适度表达作者纯正的情感，寄以不含俗态的清高志性。他与查为仁合编的《绝妙好词笺》成为继朱彝尊《词综》之后推崇南宋词方面最有影响的著作。另外，厉鹗也长于写诗，特别是五言诗。他与杭世骏齐名，《清代学者象传》中称其：“为诗精深峭洁，截断众流，于新城、秀水外自树一帜。”厉鹗读书搜奇嗜博，钩深摘异，尤熟于宋元以后的掌故。著有《樊榭山房集》、《宋诗纪事》、《辽史拾遗》、《东城杂记》、《南宋杂事诗》等书。其中《南宋杂事诗》一书，采诸书为之注，征引浩博，为考史事者所重。
朱彝尊,,,字锡鬯，号竹垞，驱芳，金风亭长,清代,,,汉族,1629年10月7日,1709年11月14日,词人，学者,,浙江秀水,《曝书亭集》，《日下旧闻》，《经义考》，《明诗综》，《词综》,,朱彝尊，字锡鬯，号竹垞，又号醧舫，晚号小长芦钓鱼师，别号金风亭长，浙江秀水人。清朝词人、学者、藏书家，明代大学士朱国祚曾孙。康熙十八年举博学鸿词科，除翰林院检讨。二十二年，入直南书房。博通经史，参加纂修《明史》。作词风格清丽，为“浙西词派”的创始人，与陈维崧并称“朱陈”，与王士祯称南北两大诗宗；精于金石，购藏古籍图书不遗余力，为清初著名藏书家之一。著有《曝书亭集》80卷，《日下旧闻》42卷，《经义考》300卷；选《明诗综》100卷，《词综》36卷。所辑成《词综》是中国词学方面的重要选本。康熙四十八年，卒，年八十一。
张问陶,,张船山，青莲再世，少陵复出,字仲冶，号船山，蜀山老猿,,中国,,汉族,1764年6月26日,1814年4月23日,翰林院检讨，莱州知府，诗书画家,,清山东省馆陶县,《船山诗草》,,张问陶 ，字仲冶，一字柳门，号船山、蜀山老猿，清四川遂宁人。清代杰出诗人、诗论家，著名书画家。因故乡四川遂宁城郊有一座孤绝秀美的小山，形如船，名船山，便自号船山，亦称“老船”。因善画猿，亦自号“蜀山老猿”。乾隆五十五年进士，曾任翰林院检讨、江南道监察御史、吏部郎中。后出任山东莱州知府，后辞官寓居苏州虎邱山塘。晚年遨游大江南北，嘉庆十九年三月初四日，病卒于苏州寓所。撰有《船山诗草》，存诗3500余首。其诗天才横溢，价重鸡林，与袁枚、赵翼合称清代“性灵派三大家”，被誉为“青莲再世”、“少陵复出”、清代“蜀中诗人之冠”。其生平事迹见《清史稿》卷四八五《文苑》、《清史列传》卷七二《文苑传三》、《张问陶年谱》、《张船山书画年谱》等文献。遂宁市船山区即以区内文化名山船山及乡贤船山先生张问陶命名。
屈原,,屈平，屈子，屈正则,姓“芈”，字原，一字灵均,战国末期,,,华夏族,约公元前340年,公元前278年,,,丹阳秭归,《离骚》，《九歌》，《九章》，《天问》,学生：宋玉,屈原，中国战国时期楚国诗人、政治家。出生于楚国丹阳秭归。屈原，名平，字原，但实际上他姓“芈”，并不姓“屈”；又自云名正则，字灵均。楚武王熊通之子屈瑕的后代。少年时受过良好的教育，博闻强识，志向远大。早年受楚怀王信任，任左徒、三闾大夫，兼管内政外交大事。 他提倡“美政”，主张对内举贤任能，修明法度，对外力主联齐抗秦。因遭贵族排挤诽谤，被先后流放至汉北和沅湘流域。楚国郢都被秦军攻破后，屈原自沉于汨罗江，以身殉国。屈原是中国历史上第一位伟大的爱国诗人，中国浪漫主义文学的奠基人，“楚辞”的创立者和代表作家，开辟了“香草美人”的传统，被誉为“辞赋之祖”“中华诗祖”。屈原作品的出现，标志着中国诗歌进入了一个由集体歌唱到个人独创的新时代。其主要作品有《离骚》《九歌》《九章》《天问》等。以屈原作品为主体的《楚辞》是中国浪漫主义文学的源头之一，与《诗经》并称“风骚”，对后世诗歌产生了深远影响。1953年，在屈原逝世2230周年之际，世界和平理事会通过决议，确定屈原为当年纪念的世界四大文化名人之一。
宋玉,,子渊,,战国末期,,,华夏族,约前298年,约前222年,,,宋国都商丘,《九辩》，《风赋》，《高唐赋》，《神女赋》，《登徒子好色赋》,"领导：熊横
老师：屈原",宋玉，字子渊，战国时期宋国公子，因父子矛盾而出走楚国，战国末期辞赋家，平生酷爱辞赋，既懂音乐亦善于写文章，曾事楚顷襄王， 是继屈原之后又一伟大的辞赋家，与同时代的唐勒、景差齐名。所作辞赋甚多，流传作品有《九辩》《风赋》《高唐赋》《登徒子好色赋》《神女赋》。 成语“下里巴人”“阳春白雪”“曲高和寡”“宋玉东墙”的典故皆他而来。
